,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
2,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6202.0,0.0,0.0,0.0,7903.0,7875.0,7847.0,7892.0,7529.0,7487.667,7446.333,7405.0,7484.0,7160.0,7394.0,7394.0
3,Austria,1977.0,1596.0,1495.0,1372.0,1230.0,1626.0,1476.0,1506.0,1483.0,1553.0,1572.0,1542.0,1512.0,1483.0,557.0,534.8,484.8,427.2,373.1,302.1,153.3,229.9,207.3,199.0,194.1,143.6,132.2,102.9,102.9
4,Belgium,1737.0,1902.0,1924.0,2131.0,2153.0,2004.35,1717.91,1249.28,1028.09,934.44,936.49,759.74,574.81,535.61,590.1,582.84,492.19,498.76,203.94,157.31,80.75,41.34,31.95,42.14,45.98,40.44,38.14,40.68,40.68
5,Canada,0.0,0.0,0.0,0.0,0.0,0.0,12634.93,0.0,17193.02,0.0,22010.43,0.0,22877.3,0.0,23965.43,0.0,25096.16,0.0,24630.152,0.0,23704.794,0.0,23447.4,0.0,23528.318,0.0,23693.71,0.0,0.0
6,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4520.3,4514.7,4647.1,4802.3,4964.1,5113.7,0.0,5492.9,5608.0,5779.5,5935.7,6142.4,0.0,0.0,5465.429,7172.082,7127.291,7966.139,7966.139
7,Czech Republic,0.0,0.0,0.0,0.0,0.0,3120.0,3200.0,3280.0,2800.0,2850.0,2900.0,2200.0,2097.0,2049.0,1838.0,1934.0,2043.29,2120.53,2057.43,2113.89,2161.8,2167.04,1827.87,1815.1,1826.97,1755.44,1789.37,1765.36,1765.36
8,Denmark,0.0,0.0,0.0,468.0,511.0,503.0,432.0,344.0,357.0,361.0,355.0,251.0,218.0,184.0,169.0,207.0,203.0,204.0,175.0,130.0,0.0,100.0,88.0,69.0,57.0,51.0,45.0,38.0,38.0
9,Estonia,0.0,0.0,0.0,0.0,0.0,529.0,564.0,592.0,556.02,568.62,601.06,402.96,419.25,371.31,383.0,369.4,373.27,390.12,333.0,287.0,267.0,239.01,129.0,52.73,30.33,34.54,50.64,98.43,98.43
10,Finland,0.0,0.0,1955.0,1682.0,1500.0,1366.0,1405.0,1444.0,1514.0,1446.0,1580.0,1473.0,1485.0,1445.0,1423.0,1478.0,1503.91,1411.29,1406.1,1179.84,1136.0,1093.0,901.0,672.4,457.73,314.76,89.54,25.9,25.9
11,France,0.0,0.0,0.0,13677.0,0.0,12668.0,13408.0,13588.0,13786.0,13462.0,13320.0,13117.0,12651.0,11944.0,11767.0,12133.0,12003.0,11872.0,11148.0,10424.0,10078.0,9731.0,9281.0,8830.0,8490.0,8151.0,7936.0,7721.0,7721.0
12,Germany,0.0,0.0,0.0,18978.0,0.0,21831.25,20514.72,19861.14,18461.72,14883.31,13692.31,13298.31,11266.0,9530.0,8578.0,3980.0,307.0,299.0,286.0,176.0,206.0,247.0,107.0,135.0,123.0,104.0,122.0,123.0,123.0
13,Greece,2821.0,0.0,2970.0,0.0,0.0,3295.34,3436.77,3540.0,3718.7,3885.9,4056.0,4157.0,4233.0,4328.25,4298.25,4294.54,4295.06,3999.32,4180.94,4181.0,4903.0,4578.0,4507.0,4421.0,4470.0,4426.0,4415.0,4335.0,4335.0
14,Hungary,3871.0,0.0,0.0,0.0,3388.0,3481.0,3693.0,3928.0,3936.0,4024.0,3736.0,3695.74,3840.81,3967.72,3857.0,3859.0,3792.0,3429.0,3341.0,3212.0,2838.0,2563.0,2609.0,2415.0,2181.0,1991.0,1888.0,1825.0,1825.0
15,Iceland,0.0,0.0,0.0,0.0,0.0,86.0,88.0,90.0,92.0,95.0,98.0,100.0,103.0,105.0,106.0,108.0,117.0,117.0,155.0,94.0,110.0,108.0,110.0,110.0,116.0,113.0,125.9,142.8,142.8
16,Ireland,0.0,0.0,0.0,0.0,0.0,1426.0,1518.0,1603.55,1766.77,1930.0,2093.0,2070.52,1967.44,1904.4,1818.54,1833.33,1980.62,2014.8,1938.71,1723.71,1495.565,1344.0,1027.6,0.0,536.53,0.0,710.81,622.88,622.88
17,Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.64,3636.54,3719.76,3787.52,3857.58,3959.2,4114.63,4128.835,3981.7,3982.432,4054.054,4112.908,4188.841,4217.051,4217.051
18,Italy,0.0,0.0,0.0,0.0,0.0,24000.0,21623.0,21275.0,20768.0,21745.0,21917.0,19912.0,18745.0,17883.0,17641.0,17117.0,17462.0,16912.0,16069.0,15538.0,15015.0,13206.0,11720.0,10914.0,9332.0,7819.0,7432.0,6927.0,6927.0
19,Japan,9790.0,8458.0,7334.31,7124.07,6214.0,5721.0,5180.0,4334.0,3820.0,3444.0,3084.0,2745.0,2227.0,1863.0,1774.0,1444.0,1201.0,1180.0,821.0,717.0,662.0,593.0,567.0,574.0,525.0,468.0,426.0,419.0,419.0
20,Korea,28677.69,30646.5,24838.98,19792.86,17215.59,12609.0,12452.34,11161.34,9152.0,8593.93,7968.0,7665.0,7564.0,7464.25,6641.0,4892.0,0.0,0.0,3864.0,3457.0,3211.0,3063.0,2839.0,2779.0,2852.0,2817.0,2887.0,0.0,0.0
